,Number,Name_of_Covered_Entity,State,Business_Associate_Involved,Individuals_Affected,Date_of_Breach,Type_of_Breach,Location_of_Breached_Information,Date_Posted_or_Updated,,breach_start,breach_end,year
599,598,Illinois Department of Healthcare and Family Services,IL,"University of Illinois, College of Nursing",508,8/31/2012,Theft,Paper,24/03/14,,31/08/12,NA,2012
600,599,Miami Beach Healthcare Group Ltd. dba Aventura Hospital and Medical Center,FL,,2560,01/01/2012 - 09/12/2012,Theft,Electronic Medical Record,23/01/14,,01/01/12,12/09/12,2012
601,600,"WYATT DENTAL GROUP, LLC",LA,,10271,11/04/2011 -04/15/2012,"Theft, Unauthorized Access/Disclosure",Electronic Medical Record,23/01/14,,04/11/11,15/04/12,2011
602,601,Women & Infants Hospital of Rhode Island,RI,,14004,9/13/2012,Loss,Other,23/01/14,,13/09/12,NA,2012
603,602,Memorial Health System,CO,,6262,05/01/12,Loss,Paper,23/01/14,,01/05/12,NA,2012
604,603,CHRISTUS St. John Hospital,TX,,5748,9/25/2012,Loss,Other Portable Electronic Device,23/01/14,,25/09/12,NA,2012
605,604,L.A. Care Health Plan,CA,,18000,09/17/2012-09/20/2012,Other,Other,23/01/14,,17/09/12,20/09/12,2012
606,605,"Hawaii State Department of Health, Adult Mental Health Division",HI,,674,9/25/2012,Hacking/IT Incident,Desktop Computer,23/01/14,,25/09/12,NA,2012
607,606,"Soundental Associates, PC",CT,,14511,9/24/2012,Theft,Other Portable Electronic Device,19/02/14,,24/09/12,NA,2012
608,607,"Original Medicine Acupuncture & Wellness, LLC",NM,,540,09/07/2012 - 09/09/2012,Theft,Laptop,23/01/14,,07/09/12,09/09/12,2012
609,608,Brigham and Women's Hospital,MA,,615,10/16/2012,Theft,Desktop Computer,23/01/14,,16/10/12,NA,2012
610,609,"St. Francis Health Network, aka Franciscan Alliance ACO",IN,"Advantage Health Solutions, Inc.",2575,10/19/2012,Other,Other,23/01/14,,19/10/12,NA,2012
611,610,"James M. McGee, D.M.D., P.C.",GA,,1306,09/19/2012 - 09/26/2012,Theft,Paper,23/01/14,,19/09/12,26/09/12,2012
612,611,Robbins Eye Center PC,CT,,1749,10/07/12,Theft,Desktop Computer,23/01/14,,07/10/12,NA,2012
613,612,"Advanced Data Processing, Inc.",FL,,10000,06/15/2012 -10/01/2012,Theft,Desktop Computer,23/01/14,,15/06/12,01/10/12,2012
614,613,Cuyahoga County Board of Developmental Disabilities,OH,,613,11/02/12,Theft,Laptop,24/03/14,,02/11/12,NA,2012
615,614,Okaloosa County Public Safety,FL,"Advanced Data Processing, Inc.",715,06/15/2012 - 10/01/2012,Theft,Desktop Computer,23/01/14,,15/06/12,01/10/12,2012
616,615,City of Covington Kentucky Fire Department ,KY,Advanced Data Processing Inc,1548,06/15/2012-10/01/2012,Theft,Desktop Computer,23/01/14,,15/06/12,01/10/12,2012
617,616,Northern Trust,IL,Blue Cross Blue Shield,500,9/13/2012,Unauthorized Access/Disclosure,Network Server,24/03/14,,13/09/12,NA,2012
618,617,Vidant Pungo Hospital,NC,,1100,10/04/12,Improper Disposal,Paper,23/01/14,,04/10/12,NA,2012
619,618,County of San Bernardino Department of Public Heatlh,CA,,1370,09/28/2012 - 09/30/2012,Unauthorized Access/Disclosure,Paper,23/01/14,,28/09/12,30/09/12,2012
620,619,City of Overland Park Fire Department,FL,"Advanced Data Processing, Inc.",911,06/15/2012 - 10/01/2012,Theft,Desktop Computer,23/01/14,,15/06/12,01/10/12,2012
621,620,Sumner County Emergency Medical Services,TN,"Advanced Data Processing, Inc",774,06/15/2012 - 10/01/2012,Theft,Desktop Computer,23/01/14,,15/06/12,01/10/12,2012
622,621,City of El Centro Fire Department,CA,ADPI-West,1500,10/01/12,"Theft, Unauthorized Access/Disclosure",Desktop Computer,23/01/14,,01/10/12,NA,2012
623,622,Landmark Medical Center,RI,,683,10/01/12,Theft,Laptop,23/01/14,,01/10/12,NA,2012
624,623,City of Atlanta/ Atlanta Fire Rescue Department,GA,Advanced Data Processing Inc.,908,06/15/2012-10/01/2012,Theft,Desktop Computer,23/01/14,,15/06/12,01/10/12,2012
625,624,University of Virginia Medical Center,VA,,1846,10/05/12,Loss,Other Portable Electronic Device,14/02/14,,05/10/12,NA,2012
626,625,Osceola County EMS ,FL,Advanced Data Processing Inc,949,06/15/2012-10/01/2012,Theft,Desktop Computer,23/01/14,,15/06/12,01/10/12,2012
627,626,Carolinas Medical Center - Randolph,NC,,5600,03/11/2012 - 10/08/2012,Hacking/IT Incident,E-mail,23/01/14,,11/03/12,08/10/12,2012
628,627,"Coastal Behavioral Healthcare, Inc.",FL,,4907,04/11/11,Theft,Paper,23/01/14,,11/04/11,NA,2011
629,628,"CCS Medical, Inc.",TX,,6601,05/01/2012 - 09/21/2012,Unauthorized Access/Disclosure,"Network Server, Other",23/01/14,,01/05/12,21/09/12,2012
630,629,"City of Gloucester, Fire Department",MA,"Advanced  Data Processing, Inc.",1286,06/15/2012-10/01/2012,Theft,Desktop Computer,23/01/14,,15/06/12,01/10/12,2012
631,630,Columbia University Medical Center and NewYork-Presbyterian Hospital,NY,,4929,10/12/2012-10/15/2012,Theft,Desktop Computer,23/01/14,,12/10/12,15/10/12,2012
632,631,Baptist Health System,AR,Health Advantage,811,10/13/2012-10/27/2012,Other,Paper,23/01/14,,13/10/12,27/10/12,2012
633,632,"DFA, Employee Benefits Division",AR,Health Advantage,7039,10/13/2012 - 10/27/2012,Other,Paper,23/01/14,,13/10/12,27/10/12,2012
634,633,Health Advantage,AR,,2863,10/13/2012 - 10/27/2012,Other,Paper,23/01/14,,13/10/12,27/10/12,2012
635,634,University of Michigan Health System,MI,"Omnicell, Inc.",3999,11/14/2012,Theft,Laptop,23/01/14,,14/11/12,NA,2012
636,635,Westerville Dental Center,OH,,850,12/02/12,Theft,"Laptop, Network Server",23/01/14,,02/12/12,NA,2012
637,636,"OHP PHSP, Inc.",NY,"HealthPlus, Amerigroup",28187,08/31/2012 - 09/21/2012,Unauthorized Access/Disclosure,Other,23/01/14,,31/08/12,21/09/12,2012
638,637,"Center for Orthopedic Research and Education, Inc.",AZ,,35488,10/20/2012 - 10/21/2012,Theft,Paper,23/04/14,,20/10/12,21/10/12,2012
639,638,Calif. Dept. of Health Care Services (DHCS),CA,,2643,12/10/2012 - 12/18/2012,Unauthorized Access/Disclosure,Other,23/01/14,,10/12/12,18/12/12,2012
640,639,Richard Switzer MD PC,MI,,4100,11/29/2011,Other,Laptop,24/03/14,,29/11/11,NA,2011
641,640,Gibson General Hospital,IN,,28893,11/27/2012,Theft,Laptop,24/03/14,,27/11/12,NA,2012
642,641,"Sovereign Medical Group, LLC",NJ,,27800,10/10/12,"Theft, Hacking/IT Incident",Network Server,23/01/14,,10/10/12,NA,2012
643,642,"Cabinet for Health & Family Services, Department of Medicaid Services",KY,HP Enterprise Services,1090,11/15/2012,Hacking/IT Incident,Laptop,23/01/14,,15/11/12,NA,2012
644,643,"Harbor Medical Associates, P.C.",MA,"Clearpoint Design, Inc.",4343,10/18/2012 - 11/04/2012,Hacking/IT Incident,Network Server,23/01/14,,18/10/12,04/11/12,2012
645,644,Sentara Healthcare,VA,"Omnicell, Inc.",56820,11/14/2012,Theft,Laptop,14/02/14,,14/11/12,NA,2012
646,645,St. Mark's Medical Center,TX,,2988,5/21/2012,Hacking/IT Incident,Desktop Computer,23/01/14,,21/05/12,NA,2012
647,646,Group Health Incorporated,NY,,1771,11/13/2012,Theft,Paper,20/06/14,,13/11/12,NA,2012
648,647,"Calvin Schuster,MD",CA,,532,11/04/12,Theft,Desktop Computer,23/01/14,,04/11/12,NA,2012
649,648,"Granite Medical Group, Inc.",MA,"Clearpoint Design, Inc.",4125,01/02/2010 - 11/15/2012,Hacking/IT Incident,Network Server,19/02/14,,02/01/10,15/11/12,2010
650,649,University of Nevada School of Medicine,NV,,1483,10/11/12,Improper Disposal,Paper,23/01/14,,11/10/12,NA,2012
651,650,Dimensions Healthcare System,MD,WorkflowOne,635,11/16/2012,Unauthorized Access/Disclosure,Paper,25/03/14,,16/11/12,NA,2012
652,651,SilverScript Insurance Company,AZ,,852,10/31/2012,Unauthorized Access/Disclosure,Paper,23/01/14,,31/10/12,NA,2012
653,652,South Jersey Hospital Inc.,NJ,Omnicell Inc.,8555,11/14/2012,Theft,Laptop,23/01/14,,14/11/12,NA,2012
654,653,"Child & Family Psychological Services, Inc.",MA,"Clearpoint Design, Inc.",7250,10/18/2012-10/29/2012,Hacking/IT Incident,Network Server,23/01/14,,18/10/12,29/10/12,2012
655,654,Pousson Family Dentistry,LA,,1400,12/03/12,Theft,Laptop,23/01/14,,03/12/12,NA,2012
656,655,South Shore Medical Center,MA,"Clearpoint Design, Inc.",4100,01/01/2007-11/15/2012,Hacking/IT Incident,Network Server,23/01/14,,01/01/07,15/11/12,2007
657,656,"Lee D. Pollan, DMD, PC",NY,,19178,11/06/2012-11/15/2012,Theft,Laptop,28/05/14,,06/11/12,15/11/12,2012
658,657,Washington University School of Medicine,MO,,1105,11/28/2012,Theft,Laptop,23/01/14,,28/11/12,NA,2012
659,658,Riderwood Village,MD,,3230,11/18/2012,Theft,Laptop,23/01/14,,18/11/12,NA,2012
660,659,WAYNE MEMORIAL HOSPITAL,PA,,1184,12/03/12,Loss,Other,24/03/14,,03/12/12,NA,2012
661,660,Baptist Health System,TX,,678,8/14/2011,Unauthorized Access/Disclosure,Electronic Medical Record,13/03/14,,14/08/11,NA,2011
662,661,Baillie Lumber Co. Group Health Plan,NY,BlueCross BlueShield of Western New York,725,11/27/2012,Theft,Paper,20/06/14,,27/11/12,NA,2012
663,662,The University of Texas MD Anderson Cancer Center,TX,,29021,4/30/2012,Theft,Laptop,23/01/14,,30/04/12,NA,2012
664,663,"Western Wisconsin Medical Association, S.C. - River Falls Medical Clinics",WI,,2400,05/30/2012-08/31/2012,Theft,Paper,24/03/14,,30/05/12,31/08/12,2012
665,664,Boy Scouts of America Employee Benefit Plan,TX,RR Donnelley (a sub-BA for UnitedHealth Group),8911,09/15/2012-11/30/2012,Theft,Desktop Computer,23/01/14,,15/09/12,30/11/12,2012
666,665,Kmart Corporation,IL,Kmart Pharmacy #7623,16988,01/02/13,Improper Disposal,Paper,12/02/14,,02/01/13,NA,2013
667,666,Community Services NW,AL,,2400,12/06/12,Theft,Desktop Computer,23/04/14,,06/12/12,NA,2012
668,667,American HomePatient Inc. ,TN,LifeGas,1103,10/11/12,Theft,Laptop,23/01/14,,11/10/12,NA,2012
669,668,Yadkinville Chiropractic DCPA,NC,Yadkinville Chiropractic DCPA,1000,02/01/13,Theft,Desktop Computer,12/02/14,,01/02/13,NA,2013
670,669,"Intervention Services, Inc.",FL,,1200,1/19/2013,Theft,Laptop,23/01/14,,19/01/13,NA,2013
671,670,West Georgia Ambulance,GA,,500,12/13/2012,Loss,Laptop,23/01/14,,13/12/12,NA,2012
672,671,"Center for Pain Management, LLC",MD,,5822,1/22/2013,Theft,Laptop,23/01/14,,22/01/13,NA,2013
673,672,Multiple Health Plans,CA,"Coast Healthcare Management, LLC",1368,12/07/13,"Theft, Other",Paper,23/01/14,,07/12/13,NA,2013
674,673,Froedtert Health,WI,,43549,10/27/2012-12/13/2012,Unauthorized Access/Disclosure,Other,24/03/14,,27/10/12,13/12/12,2012
675,674,Jackson Health System,FL,,566,05/26/2011 - 02/18/2012,Other,Paper,23/01/14,,26/05/11,18/02/12,2011
676,675,Riderwood Village,MD,,5270,11/18/2012,Theft,Laptop,23/01/14,,18/11/12,NA,2012
677,676,"Kindred Healthcare, Inc. d/b/a Kindred Transitional Care and Rehabilitation - Marl",MA,,716,12/15/2012-12/17/2012,Theft,Other Portable Electronic Device,23/01/14,,15/12/12,17/12/12,2012
678,677,"HomeCare of Mid-Missouri, Inc.",MO,,4027,12/14/2012,Theft,Laptop,23/01/14,,14/12/12,NA,2012
679,678,Heyman HospiceCare at Floyd,GA,,1819,01/04/13,Theft,Laptop,23/01/14,,04/01/13,NA,2013
680,679,Agency for Health Care Administration,FL,"DentaQuest of Florida, Inc.",1892,11/01/2012 - 12/20/2012,Unauthorized Access/Disclosure,Paper,23/01/14,,01/11/12,20/12/12,2012
681,680,ABQ HealthPartners,NM,,778,12/20/2012,Theft,Laptop,23/01/14,,20/12/12,NA,2012
682,681,Terrell County Health Department,GA,,18000,01/09/2012 -  04/17/2012,Unauthorized Access/Disclosure,Network Server,23/01/14,,09/01/12,17/04/12,2012
683,682,Florida Healthy Kids Corporation,FL,"DentaQuest of Florida, LLC",3667,11/01/2012-12/20/2012,Unauthorized Access/Disclosure,Paper,23/01/14,,01/11/12,20/12/12,2012
684,683,Stronghold Counseling Services Inc,SD,,8500,12/24/2012,Theft,Desktop Computer,23/01/14,,24/12/12,NA,2012
685,684,Arizona Oncology,AZ,,501,11/21/2012,Theft,Laptop,23/01/14,,21/11/12,NA,2012
686,685,Crescent Health Inc. - a Walgreens Company,CA,,109000,12/28/2012,Theft,Desktop Computer,23/01/14,,28/12/12,NA,2012
687,686,"County of San Bernardino, Department of Behavioral Health",CA,,686,01/12/13,Theft,Paper,23/01/14,,12/01/13,NA,2013
688,687,"WOMENS HEALTH ENTERPRISE, INC.",GA,,3000,01/02/13,Theft,Laptop,23/01/14,,02/01/13,NA,2013
689,688,The Brookdale University Hospital and Medical Center,NY,Standard Register,2261,08/11/12,Theft,Paper,20/06/14,,11/08/12,NA,2012
690,689,The Brookdale University Hospital and Medical Center,NY,Health Plus Amerigroup,28187,9/21/2012,Theft,Other Portable Electronic Device,20/06/14,,21/09/12,NA,2012
691,690,"Ultra Stores, Inc.",IL,Plexus Group,500,9/13/2012,Unauthorized Access/Disclosure,Other,24/03/14,,13/09/12,NA,2012
692,691,South Miami Hospital,FL,,834,06/01/11,Unauthorized Access/Disclosure,Electronic Medical Record,23/01/14,,01/06/11,NA,2011
693,692,Lancaster General Medical Group,PA,,527,02/05/13,Theft,Paper,23/01/14,,05/02/13,NA,2013
694,693,Maine Medical Center,ME,,1920,2/27/2013,Other,E-mail,12/02/14,,27/02/13,NA,2013
695,694,"State of California, Dept. of Developmental Services",CA,North Los Angeles County Regional Center ,18162,11/10/12,Theft,Laptop,23/01/14,,10/11/12,NA,2012
696,695,Utah Department of Health ,UT,Goold Health System (Goold),6332,01/10/2013-01/11/2013,Loss,Other Portable Electronic Device,23/01/14,,10/01/13,11/01/13,2013
697,696,Sports Rehabilitation Consultants,OH,,1200,02/01/13,Theft,Desktop Computer,12/02/14,,01/02/13,NA,2013
698,697,University of Connecticut Health Center,CT,,1382,06/07/2010 - 12/07/2012,Unauthorized Access/Disclosure,Network Server,23/01/14,,07/06/10,07/12/12,2010
699,698,"United HomeCare Services, Inc.",FL,,12299,01/08/13,Theft,Laptop,23/01/14,,08/01/13,NA,2013
700,699,United Home Care Services of Southwest Florida< LLC,FL,"United HomeCare Services, Inc.",1318,01/08/13,Theft,Laptop,23/01/14,,08/01/13,NA,2013
701,700,"catoctin Dental/Richard B. Love, DDS, PA",MD,Patterson Dental Supply/Patterson Companies,6400,01/03/13,Hacking/IT Incident,Network Server,23/01/14,,03/01/13,NA,2013
702,701,Empire Blue Cross Blue Shield,IN,Connextions c/o Empire BCBS,2608,11/01/2011-10/01/2012,"Theft, Unauthorized Access/Disclosure",Network Server,23/01/14,,01/11/11,01/10/12,2011
703,702,Anthem Blue Cross Blue Shield (OH),IN,Connextions c/o Anthem BCBS,1678,11/01/2011-10/01/2012,"Theft, Unauthorized Access/Disclosure",Network Server,23/01/14,,01/11/11,01/10/12,2011
704,703,Anthem Blue Cross Blue Shield (IN),IN,Connextions c/o Anthem BCBS,528,11/01/2011-10/01/2012,"Theft, Unauthorized Access/Disclosure",Network Server,23/01/14,,01/11/11,01/10/12,2011
705,704,Mount Sinai Medical Center,FL,,628,10/01/2012 - 02/18/2013,Theft,"Desktop Computer, Paper",23/01/14,,01/10/12,18/02/13,2012
706,705,"Thomas L. Davis, Jr. DDS",OR,,3269,02/12/13,Theft,"Desktop Computer, Electronic Medical Record",23/01/14,,12/02/13,NA,2013
707,706,"HealthCare for Women, Inc.",MA,,8727,01/18/2013-01/23/2013,Hacking/IT Incident,Network Server,23/01/14,,18/01/13,23/01/13,2013
708,707,University of Mississippi Medical Center,MS,,500,11/01/2012-01/19/2013,Loss,Laptop,23/01/14,,01/11/12,19/01/13,2012
709,708,Granger Medical Clinic,UT,,2600,1/17/2013,"Theft, Loss, Other",Paper,12/02/14,,17/01/13,NA,2013
710,709,Texas Tech Unversity Health Sciences Center,TX,,697,2/18/2013,Unauthorized Access/Disclosure,Paper,23/01/14,,18/02/13,NA,2013
711,710,Rite Aid #10217,RI,,2082,02/01/13,"Unknown, Other",Paper,12/02/14,,01/02/13,NA,2013
712,711,WA Department of Social and Health Services,WA,"Sunil Kakar, Psy.D.",629,02/04/13,Theft,Laptop,23/01/14,,04/02/13,NA,2013
713,712,Carpenters Health & Welfare Trust Fund for California,CA,"QuickRunner, Inc. (dba, RoadRunner Mailing Services)",2400,03/11/2013-03/12/2013,Unauthorized Access/Disclosure,Paper,23/01/14,,11/03/13,12/03/13,2013
714,713,"Shands Jacksonville Medical Center, Inc.",FL,,1025,05/02/2012-06/22/2012,"Theft, Unauthorized Access/Disclosure",Electronic Medical Record,23/01/14,,02/05/12,22/06/12,2012
715,714,University of Florida,FL,,14519,03/01/2009 - 10/25/2012,"Theft, Unauthorized Access/Disclosure, Other",Network Server,23/01/14,,01/03/09,25/10/12,2009
716,715,Kmart Corporation,IL,,12542,3/17/2013,Theft,Electronic Medical Record,12/02/14,,17/03/13,NA,2013
717,716,GLENS FALLS HOSPITAL,NY,PORTAL HEALTHCARE SOLUTIONS LLC,2360,11/02/2012 - 03/14/2013,Theft,Network Server,03/06/14,,02/11/12,14/03/13,2012
718,717,Hospice and Palliative Care Center of Alamance Caswell,NC,,5370,2/24/2013,"Theft, Unauthorized Access/Disclosure","Laptop, Paper",23/01/14,,24/02/13,NA,2013
719,718,"Texas Health Care, P.L.L.C.",TX,,554,03/10/13,Theft,Paper,23/01/14,,10/03/13,NA,2013
720,719,Network Health Insurance Corporation,WI,TMG Health ,3794,2/27/2012,Unauthorized Access/Disclosure,Paper,24/03/14,,27/02/12,NA,2012
721,720,Wm. Jennings Bryan Dorn VAMC,SC,,7405,02/11/13,Loss,Laptop,23/01/14,,11/02/13,NA,2013
722,721,John J. Pershing VA Medical Center,MO,,589,2/20/2013,Theft,Paper,20/06/14,,20/02/13,NA,2013
723,722,Oregon Health & Science University,OR,,1076,2/22/2013,Theft,Laptop,23/01/14,,22/02/13,NA,2013
724,723,Schneck Medical Center,IN,,3131,3/14/2013,Unauthorized Access/Disclosure,Other,12/02/14,,14/03/13,NA,2013
725,724,The Guidance Center of Westchester,NY,,1416,2/21/2013,Theft,Desktop Computer,23/01/14,,21/02/13,NA,2013
726,725,Hope Hospice,TX,,818,12/27/2012 - 02/22/2013,Other,E-mail,23/01/14,,27/12/12,22/02/13,2012
727,726,"IHC Health Services, Inc. dba Intermountain Life Flight",UT,,857,3/28/2013,Unauthorized Access/Disclosure,Other,12/02/14,,28/03/13,NA,2013
728,727,Valley Mental Health,UT,,700,2/27/2013,Theft,Desktop Computer,23/01/14,,27/02/13,NA,2013
729,728,Delta Dental of Pennsylvania,PA,ZDI,14829,3/20/2013,Loss,Paper,23/01/14,,20/03/13,NA,2013
730,729,Raleigh Orthopaedic Clinic,NC,,17300,1/15/2013,"Theft, Improper Disposal, Unauthorized Access/Disclosure",Paper,23/01/14,,15/01/13,NA,2013
731,730,Laboratory Corporation of America,NC,,1580,3/15/2013,Theft,Desktop Computer,12/02/14,,15/03/13,NA,2013
732,731,"Arizona Counseling & Treatment Services, LLC",AZ,,3800,03/18/2013-03/25/2013,Theft,Other Portable Electronic Device,23/01/14,,18/03/13,25/03/13,2013
733,732,Wood County Hospital,OH,,2500,3/19/2013,Theft,Other,23/01/14,,19/03/13,NA,2013
734,733,University of Rochester Medical Center & Affiliates,NY,,537,2/15/2013,Loss,Other Portable Electronic Device,23/01/14,,15/02/13,NA,2013
735,734,Orthopedics & Adult Reconstructive Surgery,TX,AssuranceMD f/k/a Harbor Group,22000,03/01/2013 - 03/13/2013,Loss,Other Portable Electronic Device,23/01/14,,01/03/13,13/03/13,2013
736,735,El Centro Regional Medical Center,CA,Digital Archive Management,189489,11/07/12,Improper Disposal,Paper,23/01/14,,07/11/12,NA,2012
737,736,Seattle - King County Department of Public Health,WA,,750,03/07/13,Improper Disposal,Paper,23/01/14,,07/03/13,NA,2013
738,737,Regional Medical Center,TN,,1180,02/04/13,Unauthorized Access/Disclosure,E-mail,23/01/14,,04/02/13,NA,2013
739,738,Presbyterian Anesthesia Associates PA,NC,"E-dreamz, Inc.",9988,04/01/13,Hacking/IT Incident,Network Server,23/01/14,,01/04/13,NA,2013
740,739,"Integrity Oncology, an office of Baptist Medical Group",TN,"North Atlantic Telecom, Inc.",539,03/05/13,Other,Desktop Computer,23/01/14,,05/03/13,NA,2013
741,740,"Piedmont HealthCare, P.A.",NC,"E-dreamz, Inc.",1924,3/28/2013,Hacking/IT Incident,Network Server,23/01/14,,28/03/13,NA,2013
742,741,Indiana University Health Arnett,IN,,10350,04/09/13,Theft,Laptop,23/01/14,,09/04/13,NA,2013
743,742,"Dent Neurologic Group, LLP",NY,,10000,5/13/2013,Other,E-mail,23/01/14,,13/05/13,NA,2013
744,743,City of Norwood,OH,,9577,04/14/2013 - 04/19/2013,Loss,Laptop,23/01/14,,14/04/13,19/04/13,2013
745,744,Lutheran Social Services of South Central Pennsylvania,PA,,7803,06/01/2012 - 03/07/2013,Hacking/IT Incident,Network Server,23/01/14,,01/06/12,07/03/13,2012
746,745,Comfort Dental Marion and Kokomo,IN,Just the Connection Inc,5388,03/14/2013-03/18/2013,Improper Disposal,Other,23/01/14,,14/03/13,18/03/13,2013
747,746,Erskine Family Dentistry,IN,,2723,3/19/2013,Hacking/IT Incident,Desktop Computer,12/02/14,,19/03/13,NA,2013
748,747,Health Resources of Arkansas,AR,,1900,4/14/2013,"Theft, Unauthorized Access/Disclosure",Other,23/01/14,,14/04/13,NA,2013
749,748,Various Health Plans,AL,SynerMed / Inland Valleys IPA,3164,04/14/2013-04/15/2013,Theft,Laptop,23/01/14,,14/04/13,15/04/13,2013
750,749,Independence Care System,NY,,2434,05/07/13,Theft,Laptop,23/01/14,,07/05/13,NA,2013
751,750,Sonoma Valley Hospital,CA,,1386,2/14/2013,Other,Other,23/01/14,,14/02/13,NA,2013
752,751,University of Florida,FL,,5875,02/01/2012- 04/11/2013,"Theft, Unauthorized Access/Disclosure",Electronic Medical Record,23/01/14,,01/02/12,11/04/13,2012
753,752,"Community Support Services, Inc.",OH,,1167,03/20/2013-03/26/2013,Theft,E-mail,12/02/14,,20/03/13,26/03/13,2013
754,753,UMASSAmherst,MA,,1670,10/22/2012,Hacking/IT Incident,Desktop Computer,23/01/14,,22/10/12,NA,2012
755,754,Palm Beach County Health Department,FL,,877,01/07/13,Unauthorized Access/Disclosure,Desktop Computer,23/01/14,,07/01/13,NA,2013
756,755,Lucile Packard Children's Hospital,CA,,12900,05/08/13,Theft,Laptop,23/01/14,,08/05/13,NA,2013
757,756,Fayetteville VAMC,NC,,1093,4/17/2013,Improper Disposal,Paper,23/01/14,,17/04/13,NA,2013
758,757,Lincoln County Health and Human Services/Lincoln Community Health Center,OR,,959,4/17/2013,Unauthorized Access/Disclosure,Paper,23/01/14,,17/04/13,NA,2013
759,758,Union Security Insurance Company,MO,,1127,5/17/2013,Improper Disposal,E-mail,23/01/14,,17/05/13,NA,2013
760,759,"Gulf Breeze Family Eyecare, Inc",FL,,9626,03/08/2013-05/09/2013,"Theft, Unauthorized Access/Disclosure","Desktop Computer, Network Server, E-mail, Electronic Medical Record, Paper",23/01/14,,08/03/13,09/05/13,2013
761,760,Jacksonville Spine Center,FL,,5200,4/25/2013,Unauthorized Access/Disclosure,Paper,23/01/14,,25/04/13,NA,2013
762,761,Iowa Department of Human Services,IA,,7335,4/30/2013,"Loss, Unknown",Other,23/01/14,,30/04/13,NA,2013
763,762,James A. Fosnaugh,NE,,2125,05/01/2013 - 05/03/2013,Loss,Other Portable Electronic Device,23/01/14,,01/05/13,03/05/13,2013
764,763,Lone Star Circle of Care,TX,,1955,05/01/2013-05/02/2013,Theft,Laptop,23/01/14,,01/05/13,02/05/13,2013
765,764,Aflac,GA,Alberto Gerardo Vazquez Rivera,679,05/09/13,Theft,Laptop,23/01/14,,09/05/13,NA,2013
766,765,Indiana Family & Social Services Administration,IN,RCR Technology Corporation,187533,04/06/2013-05/21/2013,Other,Paper,23/01/14,,06/04/13,21/05/13,2013
767,766,Northrop Grumman Retiree Health Plan,VA,CVS Caremark,4305,5/20/2013,Theft,Paper,24/06/14,,20/05/13,NA,2013
768,767,"Health Net, Inc.",CA,,8331,04/01/2013 - 05/31/2013,Other,Paper,23/01/14,,01/04/13,31/05/13,2013
769,768,"South Florida Neurology Associates, P.A.",FL,,900,05/25/2013-05/30/2013,Theft,Laptop,23/01/14,,25/05/13,30/05/13,2013
770,769,Samaritan Regional Health System,OH,,2203,5/29/2013,Other,Paper,23/01/14,,29/05/13,NA,2013
771,770,MED-EL Coproration,NC,,609,6/25/2013,Other,E-mail,23/01/14,,25/06/13,NA,2013
772,771,Sutter Health East Bay Region (Alta Bates Summit Medical Center; Sutter Delta Medical Center; Eden Medical Center),CA,Nelson Family of Companies,4479,03/01/11,Unauthorized Access/Disclosure,E-mail,23/01/14,,01/03/11,NA,2011
773,772,Illinois Department of Healthcare and Familiy Services,IL,Family Health Network,3133,05/08/13,Other,Paper,23/01/14,,08/05/13,NA,2013
774,773,Delta Dental of Pennsylvania,PA,ZDI,4718,5/13/2013,Loss,Paper,23/01/14,,13/05/13,NA,2013
775,774,"Medtronic, Inc.",MN,,2764,03/28/2013-03/29/2013,Loss,Paper,23/01/14,,28/03/13,29/03/13,2013
776,775,Texas Health Harris Methodist Hospital Fort Worth,TX,Shred-it International Inc.,277014,05/11/13,Improper Disposal,Other,23/01/14,,11/05/13,NA,2013
777,776,Long Beach Memorial Medical Center,CA,,2864,09/01/2012-07/01/2013,Unauthorized Access/Disclosure,Electronic Medical Record,23/01/14,,01/09/12,01/07/13,2012
778,777,Hansen & Associates,WY,,2700,05/21/2013-05/29/2013,Theft,Desktop Computer,10/06/14,,21/05/13,29/05/13,2013
779,778,Sheet Metal Local 36 Welfare Fund,MO,People Resource Corporation,4560,08/01/2012-07/08/2013,Unauthorized Access/Disclosure,Other,23/01/14,,01/08/12,08/07/13,2012
780,779,Harris County,TX,,21000,08/15/2005 - 06/14/2007,Unauthorized Access/Disclosure,Desktop Computer,23/01/14,,15/08/05,14/06/07,2005
781,780,"San Jose Medical Supply Co., Inc.",CA,Jesle Kuizon,800,10/01/2011-11/31/2011,"Theft, Unauthorized Access/Disclosure, Hacking/IT Incident","Desktop Computer, Network Server",23/01/14,,01/10/11,NA,2011
782,781,"GEO Care, LLC",FL,,710,4/16/2013,Unauthorized Access/Disclosure,Desktop Computer,23/01/14,,16/04/13,NA,2013
783,782,The Brookdale Hospital and Medical Center,NY,,2700,5/24/2013,Loss,Other Portable Electronic Device,23/01/14,,24/05/13,NA,2013
784,783,Louisiana State University Health Care Services Division,LA,,6994,12/01/11,Unauthorized Access/Disclosure,Desktop Computer,23/01/14,,01/12/11,NA,2011
785,784,Oregon Health & Science University,OR,,1361,01/01/2011-07/03/2013,Unauthorized Access/Disclosure,Other,31/01/14,,01/01/11,03/07/13,2011
786,785,"Rocky Mountain Spine Clinic, P.C.",CO,,532,06/11/13,"Theft, Unauthorized Access/Disclosure",Network Server,23/01/14,,11/06/13,NA,2013
